dt,VitesseOrientation,posX,PosY,batterie
27.9001,80,-13.6054,-1469.1,5055.07,46.3983
28.0001,80,-13.6049,-1474.32,5076.67,46.3835
28.1001,80,-13.6064,-1479.55,5098.27,46.3687
28.2001,80,-13.6046,-1484.78,5119.87,46.3539
28.3001,80,-13.6011,-1490.01,5141.47,46.3391
28.4001,80,-13.6013,-1495.23,5163.07,46.3242
28.5001,80,-13.6007,-1500.46,5184.67,46.3094
28.6001,80,-13.6002,-1505.68,5206.27,46.2946
28.7001,80,-13.5998,-1510.91,5227.87,46.2798
28.8001,80,-13.5991,-1516.13,5249.46,46.265
28.9001,80,-13.5984,-1521.36,5271.06,46.2502
29.0001,80,-13.5977,-1526.58,5292.66,46.2353
29.1001,80,-13.5969,-1531.81,5314.26,46.2205
29.2001,80,-13.5962,-1537.03,5335.86,46.2057
29.3001,80,-13.5954,-1542.26,5357.46,46.1909
29.4001,80,-13.5947,-1547.48,5379.06,46.1761
29.5001,80,-13.594,-1552.7,5400.66,46.1613
29.6001,80,-13.5933,-1557.93,5422.26,46.1465
29.7001,80,-13.5926,-1563.15,5443.86,46.1316
29.8001,80,-13.5919,-1568.37,5465.46,46.1168
29.9001,80,-13.5911,-1573.59,5487.06,46.102
30.0001,80,-13.5904,-1578.82,5508.66,46.0872
30.1001,80,-13.5897,-1584.04,5530.26,46.0724
30.2001,80,-13.5916,-1589.26,5551.86,46.0576
30.3001,80,-13.5869,-1594.48,5573.46,46.0428
30.4001,80,-13.5869,-1599.7,5595.06,46.0279
30.5001,80,-13.5892,-1604.92,5616.66,46.0131
30.6001,80,-13.5841,-1610.14,5638.26,45.9983
30.7001,80,-13.5846,-1615.36,5659.86,45.9835
30.8001,80,-13.587,-1620.58,5681.46,45.9687
30.9001,80,-13.5851,-1625.8,5703.06,45.9539
31.0001,80,-13.5806,-1631.02,5724.66,45.9391
31.1001,80,-13.5842,-1636.24,5746.26,45.9242
31.2001,80,-13.5789,-1641.46,5767.86,45.9094
31.3001,80,-13.5791,-1646.68,5789.46,45.8946
31.4001,80,-13.5822,-1651.9,5811.07,45.8798
31.5001,80,-13.5805,-1657.11,5832.67,45.865
