dt,Vitesse,Orientation,batterie
9.8,80,-18.8149,0
9.9,80,-18.843,0
10,80,-18.8711,0
10.1,80,-18.8998,0
10.2,80,-18.9288,0
10.3,80,-18.9581,0
10.4,80,-18.9877,0
10.5,80,-19.0175,0
10.6,80,-19.0476,0
10.7,80,-19.078,0
10.8,80,-19.1088,0
10.9,80,-19.1399,0
11,80,-19.1715,0
11.1,80,-19.2036,0
11.2,80,-19.2361,0
11.3,80,-19.2361,0
11.4,80,-19.3028,0
11.5,80,-19.337,0
11.6,80,-19.3718,0
11.7,80,-19.4135,0
11.8,80,-19.4135,0
11.9,80,-19.4826,0
12,80,-19.52,0
12.1,80,-19.52,0
12.2,80,-19.6047,0
12.3,80,-19.6423,0
12.4,80,-19.6423,0
12.5,80,-19.7362,0
12.6,80,-19.7748,0
12.7,80,-19.7748,0
12.8,80,-19.8797,0
12.9,80,-19.9215,0
13,80,-19.9215,0
13.1,80,-20.0433,0
13.2,80,-20.09,0
13.3,80,-20.09,0
13.4,80,-20.2371,0
13.5,80,-20.2899,0
13.6,80,-20.3626,0
13.7,80,-20.4781,0
13.8,80,-20.5392,0
13.9,80,-20.6356,0
14,80,-20.7488,0
14.1,80,-20.8474,0
14.2,80,-21.0106,0
14.3,50,-21.2116,0
14.4,50,-21.4783,0
14.5,50,-22.0152,0
14.6,50,-23.4418,0
14.7,50,163.801,0
14.8,80,-14.7868,0
14.9,80,-14.7375,0
15,80,-14.6555,0
15.1,80,-14.3872,0
15.2,80,-14.1243,0
15.3,80,-14.2384,0
15.4,80,-13.9289,0
15.5,80,-13.9289,0
15.6,80,-13.6829,0
15.7,80,-13.6476,0
15.8,80,-13.6476,0
15.9,80,-13.6403,0
16,80,-13.6406,0
16.1,80,-13.643,0
16.2,80,-13.6435,0
16.3,80,-13.6435,0
16.4,80,-13.643,0
16.5,80,-13.6422,0
16.6,80,-13.6414,0
16.7,80,-13.6406,0
16.8,80,-13.6398,0
16.9,80,-13.639,0
17,80,-13.6383,0
17.1,80,-13.6375,0
17.2,80,-13.6368,0
17.3,80,-13.6368,0
17.4,80,-13.6353,0
17.5,80,-13.6346,0
17.6,80,-13.6346,0
17.7,80,-13.6331,0
17.8,80,-13.6324,0
17.9,80,-13.6324,0
18,80,-13.631,0
18.1,80,-13.6304,0
18.2,80,-13.6297,0
18.3,80,-13.629,0
18.4,80,-13.6284,0
18.5,80,-13.6277,0
18.6,80,-13.6271,0
18.7,80,-13.6264,0
18.8,80,-13.6258,0
18.9,80,-13.6251,0
19,80,-13.6245,0
19.1,80,-13.6239,0
19.2,80,-13.6233,0
19.3,80,-13.6233,0
19.4,80,-13.622,0
19.5,80,-13.6214,0
19.6,80,-13.6214,0
19.7,80,-13.6202,0
19.8,80,-13.6197,0
19.9,80,-13.6197,0
20,80,-13.6185,0
20.1,80,-13.6179,0
20.2,80,-13.6179,0
20.3,80,-13.6168,0
20.4,80,-13.6162,0
20.5,80,-13.6162,0
20.6,80,-13.6151,0
20.7,80,-13.6146,0
20.8,80,-13.6146,0
20.9,80,-13.6135,0
21,80,-13.613,0
21.1,80,-13.613,0
21.2,80,-13.6119,0
21.3,80,-13.6114,0
21.4,80,-13.6114,0
21.5,80,-13.6103,0
21.6,80,-13.6099,0
21.7,80,-13.6099,0
21.8,80,-13.6088,0
21.9,80,-13.6083,0
22,80,-13.6083,0
22.1,80,-13.6073,0
22.2,80,-13.6069,0
22.3,80,-13.6069,0
22.4,80,-13.6064,0
22.5,80,-13.6054,0
22.6,80,-13.6054,0
22.7001,80,-13.6044,0
22.8001,80,-13.604,0
22.9001,80,-13.604,0
23.0001,80,-13.603,0
23.1001,80,-13.6026,0
23.2001,80,-13.6021,0
23.3001,80,-13.6017,0
23.4001,80,-13.6017,0
23.5001,80,-13.6012,0
23.6001,80,-13.6003,0
23.7001,80,-13.5999,0
23.8001,80,-13.5994,0
23.9001,80,-13.599,0
24.0001,80,-13.5985,0
24.1001,80,-13.5981,0
24.2001,80,-13.5977,0
24.3001,80,-13.5972,0
24.4001,80,-13.5968,0
24.5001,80,-13.5964,0
24.6001,80,-13.596,0
24.7001,80,-13.5955,0
